[0] success = 0, gold = 0, kill_wumpus = 0, steps = 205, rewards = -105
[1] success = 0, gold = 0, kill_wumpus = 1, steps = 60, rewards = -60
[2] success = 0, gold = 0, kill_wumpus = 1, steps = 67, rewards = -67
[3] success = 0, gold = 0, kill_wumpus = 1, steps = 7, rewards = -7
[4] success = 1, gold = 1, kill_wumpus = 1, steps = 99, rewards = 601
[5] success = 1, gold = 1, kill_wumpus = 1, steps = 98, rewards = 602
[6] success = 0, gold = 0, kill_wumpus = 1, steps = 7, rewards = -7
[7] success = 1, gold = 1, kill_wumpus = 1, steps = 39, rewards = 661
[8] success = 0, gold = 0, kill_wumpus = 0, steps = 211, rewards = -111
[9] success = 1, gold = 1, kill_wumpus = 1, steps = 146, rewards = 554
[11] success = 0, gold = 0, kill_wumpus = 0, steps = 19, rewards = 81
[12] success = 0, gold = 1, kill_wumpus = 1, steps = 168, rewards = 332
[13] success = 1, gold = 1, kill_wumpus = 1, steps = 130, rewards = 570
[14] success = 0, gold = 0, kill_wumpus = 1, steps = 14, rewards = -14
[15] success = 0, gold = 1, kill_wumpus = 1, steps = 174, rewards = 326
[16] success = 0, gold = 0, kill_wumpus = 1, steps = 7, rewards = -7
[17] success = 1, gold = 1, kill_wumpus = 1, steps = 122, rewards = 578
[18] success = 0, gold = 0, kill_wumpus = 1, steps = 60, rewards = -60
[19] success = 0, gold = 0, kill_wumpus = 0, steps = 161, rewards = -61
[20] success = 1, gold = 1, kill_wumpus = 1, steps = 99, rewards = 601
[21] success = 0, gold = 0, kill_wumpus = 0, steps = 12, rewards = 88
[22] success = 0, gold = 1, kill_wumpus = 1, steps = 159, rewards = 341
[23] success = 0, gold = 0, kill_wumpus = 0, steps = 138, rewards = -38
[24] success = 0, gold = 0, kill_wumpus = 1, steps = 90, rewards = -90
[25] success = 1, gold = 1, kill_wumpus = 1, steps = 39, rewards = 661
[26] success = 0, gold = 1, kill_wumpus = 1, steps = 152, rewards = 348
[27] success = 0, gold = 0, kill_wumpus = 0, steps = 72, rewards = 28
[28] success = 0, gold = 0, kill_wumpus = 1, steps = 7, rewards = -7
[29] success = 0, gold = 0, kill_wumpus = 0, steps = 65, rewards = 35
[30] success = 1, gold = 1, kill_wumpus = 1, steps = 77, rewards = 623
[31] success = 0, gold = 0, kill_wumpus = 0, steps = 260, rewards = -160
[32] success = 0, gold = 0, kill_wumpus = 0, steps = 214, rewards = -114
[33] success = 1, gold = 1, kill_wumpus = 1, steps = 99, rewards = 601
[34] success = 0, gold = 0, kill_wumpus = 1, steps = 7, rewards = -7
[35] success = 0, gold = 1, kill_wumpus = 1, steps = 158, rewards = 342
[36] success = 0, gold = 1, kill_wumpus = 0, steps = 193, rewards = 407
[37] success = 0, gold = 0, kill_wumpus = 1, steps = 60, rewards = -60
[38] success = 0, gold = 0, kill_wumpus = 0, steps = 72, rewards = 28
[39] success = 0, gold = 1, kill_wumpus = 0, steps = 88, rewards = 512
[10] success = 0, gold = 0, kill_wumpus = 1, steps = 7, rewards = -7
